Incident ID,Month,Year,State,City Or County,Address,# Killed,# Injured,Operations
1968887,4,2021,Alabama,Birmingham,3969 14th Ave N,1,5,N/A
1970173,4,2021,Michigan,Flint,2900 block of Henry St,1,0,N/A
1967934,4,2021,California,Lancaster,44654 18th St W,1,0,N/A
1969109,4,2021,Vermont,Rutland,253 S Main St,1,0,N/A
1967912,4,2021,Texas,Edcouch,22000 block of Mile 5 1/2 Rd  W,1,0,N/A
1965972,3,2021,Kansas,Kansas City,6400 block of Farrow Ave,1,0,N/A
1996775,3,2021,Florida,Englewood,Euler Ave,1,0,N/A
1966989,3,2021,North Carolina,Greenville,1100 block of Van Dyke St,1,0,N/A
1966371,3,2021,Georgia,Mount Zion,Bowdon Junction Rd,1,0,N/A
1966235,3,2021,Virginia,Smithfield,900 block of John Rolfe Dr,1,0,N/A
1966375,3,2021,Illinois,Oswego,800 block of Columbus Dr,1,0,N/A
1964480,3,2021,Texas,San Antonio,8000 Oakdell Way,1,0,N/A
1963070,3,2021,Virginia,Petersburg,1400 block of Talley Ave,1,0,N/A
1962905,3,2021,Virginia,Virginia Beach,300 block of 19th St,1,0,N/A
1964419,3,2021,Virginia,Halifax,Clays Mill School Rd,1,0,N/A
1962699,3,2021,Pennsylvania,Monroeville,120 Cambridge Square Dr,1,0,N/A
1962820,3,2021,Ohio,Columbiana,300 block of Quincy Ave,1,0,N/A
1960348,3,2021,Florida,Tallahassee,2849 Apalachee Pkwy,1,1,N/A
1959738,3,2021,Missouri,Elk Creek,Nagle Dr,1,0,N/A
1959615,3,2021,Nevada,Las Vegas,2650 Las Vegas Blvd S,1,0,N/A
1957906,3,2021,Wisconsin,Milwaukee,5900 block of N 76th St,1,0,N/A
1957701,3,2021,Louisiana,Shreveport,4911 Monkhouse Dr,1,1,N/A
1958776,3,2021,New York,Kingston,358 Broadway,1,0,N/A
1955301,3,2021,Georgia,Columbus,2300 block of Avalon Dr,1,0,N/A
1955409,3,2021,Tennessee,Antioch,3000 block of Rock Creek Dr,1,0,N/A
1954467,3,2021,Virginia,Richmond,3700 block of Angela Dr,1,0,N/A
1952746,3,2021,Texas,Waco,937 S 11th St,1,1,N/A
1951655,3,2021,New York,Corona (Queens),Broadway and 48th St,1,0,N/A
1951793,3,2021,Minnesota,Gaylord,27497 451st Ave,1,0,N/A
1953474,3,2021,New York,Newburgh,N/A,1,0,N/A
1948712,3,2021,Texas,Dallas,10325 Lake June Rd,1,0,N/A
1949918,3,2021,Oregon,Bonanza,Bongo Ln,1,0,N/A
1947184,3,2021,Tennessee,Cleveland,1585 Spring Place Rd SE,1,0,N/A
1947365,3,2021,Oklahoma,Broken Arrow,S Garnett Rd and E 121st St S,1,0,N/A
1946173,3,2021,Ohio,Nelsonville,Walnut St,1,0,N/A
1947131,3,2021,New Mexico,Los Lunas,W Brazaro and Carmel Rd,1,0,N/A
1946228,3,2021,Iowa,Des Moines,2300 block of Martin Luther King Junior Pkwy,1,0,N/A
1947107,3,2021,Texas,Bellaire,4439 Bissonnet St,1,0,N/A
1946948,3,2021,Michigan,Lansing,600 block of N Fairview Ave,1,0,N/A
1947126,3,2021,Texas,Mckinney,1900 block of Grassmere Ln,1,0,N/A
1944102,3,2021,Mississippi,Greenwood,Nelson St and Wilczinski St,1,0,N/A
1946200,3,2021,Indiana,New Albany,Wayne St,1,0,N/A
1942461,3,2021,Ohio,Toledo,1500 block of Nevada St,2,0,N/A
1944255,3,2021,New Mexico,Taos,Salazar Rd,1,0,N/A
1942559,3,2021,Illinois,Chicago,100 block of W 127th St,1,1,N/A
1942345,2,2021,Ohio,Warren,3178 Starlite St,1,0,N/A
1941245,2,2021,Michigan,Saint Johns,500 block of E State St,1,0,N/A
1944084,2,2021,Mississippi,Waveland,301 Herlihy St,1,0,N/A
1940665,2,2021,Washington,Othello,300 block of Hamlet St,1,0,N/A
1943056,2,2021,Texas,El Paso,1925 Detroit Ave,1,0,N/A
1939861,2,2021,Kansas,Hays,2000 block of 200th Ave,1,0,N/A
1936985,2,2021,Tennessee,Grand Junction,Pearl Rd,1,0,N/A
1936994,2,2021,Washington,Lakewood,8600 block of Steilacoom Blvd SW,1,0,N/A
1939110,2,2021,New Mexico,Roswell,50 block of B St,1,0,N/A
1945065,2,2021,South Carolina,Greer,N/A,1,0,N/A
