Incident ID,Month,Year,State,City Or County,Address,# Killed,# Injured,Operations
2007119,5,2021,New York,Bronx,E 174th St and Vyse Ave,0,1,N/A
2007592,5,2021,Illinois,Chicago,11736 S Elizabeth St,0,1,N/A
2007170,5,2021,Ohio,Akron,700 block of Clay St,0,1,N/A
2006266,5,2021,Connecticut,Hartford,100 block of Douglas St,0,1,N/A
2006353,5,2021,Maryland,Capitol Heights,1600 block of Brooks Dr,0,1,N/A
2006012,5,2021,Tennessee,Nashville,234 W Trinity Ln,1,1,N/A
2007088,5,2021,Tennessee,Johnson City,225 E Main St,0,1,N/A
2005169,5,2021,Pennsylvania,Archbald,600 Block of Salem Rd,1,1,N/A
2006959,5,2021,Florida,Largo,990 Missouri Ave N,0,1,N/A
2005331,5,2021,Georgia,Atlanta,2525 Piedmont Rd NE,0,3,N/A
2006878,5,2021,North Carolina,Greenville,Haven Dr,0,1,N/A
2004699,5,2021,Michigan,Detroit,18984 Livernois,0,1,N/A
2006280,5,2021,Washington,Seattle,300 block of 9th Ave,0,1,N/A
2006051,5,2021,New York,New Rochelle,491 5th Ave,0,1,N/A
2004845,5,2021,Wisconsin,Milwaukee,N 48th St and W Marion St,0,1,N/A
2006946,5,2021,Washington,East Wenatchee,80 9th St NE,0,1,N/A
2006476,5,2021,Nebraska,Lincoln,Baldwin Ave and N 43rd St,0,1,N/A
2004506,5,2021,Oklahoma,Choctaw,McDonald Dr,0,1,N/A
2003492,5,2021,Illinois,Chicago,1800 block of S Kildare Ave,0,1,N/A
2003839,5,2021,Florida,Tampa,30th Ave and 54th St N,0,1,N/A
2003727,5,2021,Illinois,Chicago,5900 block of S Paulina St,0,1,N/A
2003724,5,2021,Georgia,Savannah,1850 E Montgomery Cross Rd,0,1,N/A
2004344,5,2021,Kentucky,Edmonton,Wilson Cir,0,1,N/A
2003371,5,2021,Illinois,Decatur,N/A,0,1,N/A
2002261,5,2021,Illinois,Chicago,2500 block of N Laramie Ave,0,1,N/A
2003082,5,2021,Minnesota,Cottage Grove,10125 85th St S,0,1,N/A
2002019,5,2021,Maine,Bath (West Bath),109 New Meadows Rd,0,2,N/A
2002904,5,2021,Minnesota,Saint Paul,700 block of Sherburne Ave,0,1,N/A
2003390,5,2021,California,Los Angeles,130 block of E 6th St,0,1,N/A
2002425,5,2021,Georgia,Columbus,3402 Veterans Pkwy,0,1,N/A
2002480,5,2021,New York,Brooklyn,Dean St and Saratoga Ave,0,1,N/A
2001692,5,2021,Florida,Orlando,5200 N Orange Blossom Trl,0,1,N/A
2000617,5,2021,Virginia,Colonial Heights,2700 block of Martingale Rd,0,1,N/A
2000187,5,2021,Indiana,South Bend,53880 Generations Dr,0,1,N/A
2001500,5,2021,Texas,Austin,1515 Wickersham Ln,0,1,N/A
2000138,5,2021,South Carolina,Elgin,1500 block of Smyrna Rd,0,1,N/A
2001969,5,2021,Wisconsin,Madison,3000 block of Webb Ave,0,1,N/A
2000923,5,2021,Texas,Eden,100 block of Bryan St,2,1,N/A
2000320,5,2021,Maryland,Cambridge,N/A,0,1,N/A
1999243,5,2021,Georgia,Sandersville,104 E Church St,0,1,N/A
1999149,5,2021,Florida,Hollywood (Miramar),17000 block of SW 31st Ct,0,3,N/A
1998983,5,2021,Arkansas,Little Rock,1400 block of Cleveland St,0,1,N/A
2001407,5,2021,Alabama,Mobile (Prichard),Foch St,0,1,N/A
1998563,5,2021,New York,New York (Manhattan),W 44th St and Seventh Ave,0,3,N/A
1998591,5,2021,Minnesota,Saint Paul,900 block of Albemarle St,0,1,N/A
1998900,5,2021,Missouri,Saint Charles,7394 MO 94,0,1,N/A
2000086,5,2021,Michigan,Muskegon (Muskegon Heights),W Cleveland Ave and Waalkes St,0,1,N/A
1997944,5,2021,Virginia,Norfolk,7900 block of Diggs Rd,0,1,N/A
1997836,5,2021,Texas,San Antonio,1303 Rigsby Ave,0,1,N/A
1997760,5,2021,Georgia,Atlanta,151 Cleveland Ave SW,0,1,N/A
1998396,5,2021,Georgia,Austell,5000 block of Maxham Rd,0,1,N/A
1998245,5,2021,Louisiana,Shreveport,2800 block of Ashton St,0,1,N/A
1998159,5,2021,Alabama,Birmingham,4730 Avenue T,0,1,N/A
1998108,5,2021,Florida,Clewiston,940 W Sugarland Hwy,1,1,N/A
1997036,5,2021,Louisiana,Opelousas,200 block of Coleman St,0,1,N/A
1997471,5,2021,New York,Bronx,3711 3rd Ave,1,1,N/A
1996812,5,2021,Illinois,Chicago,3550 S Rhodes Ave,0,1,N/A
1997573,5,2021,Florida,Miami,8000 block of NW Eighth St,0,1,N/A
1996307,5,2021,Maryland,Rockville,14600 block of Rothgeb Dr,0,1,N/A
1998231,5,2021,Idaho,Rigby,575 N 4200 E,0,1,N/A
1996035,5,2021,Ohio,Columbus,1837 S 5th St,0,1,N/A
1996409,5,2021,Texas,Houston,6403 McKinstry Rd,0,1,N/A
1995811,5,2021,North Carolina,Burlington,1524 S Mebane Rd,0,1,N/A
1996250,5,2021,Missouri,Columbia,I-70 and US-63,0,1,N/A
1996211,5,2021,Montana,Helena,1450 Lincoln Rd W,0,1,N/A
1994935,5,2021,New York,Buffalo,Ashley St and Brownell St,0,1,N/A
2018038,5,2021,Ohio,Independence (Seven Hills),Primrose Dr,0,1,N/A
1995138,5,2021,Tennessee,Memphis,N Watkins St and Tutwiler Ave,0,1,N/A
1995168,5,2021,Pennsylvania,Fairview,Heidler Rd,0,1,N/A
1993078,5,2021,Virginia,Norfolk,5300 block of E Princess Anne Rd,0,1,N/A
